ID,latitude,longitude
3,48.168224,11.579158
4,48.168224,11.579158
5,48.169072,11.578633
7,48.1686,11.579598
10,48.1686,11.579598
12,48.168433,11.579088
13,48.168433,11.579088
15,48.168433,11.579088
19,48.169073,11.579587
22,48.169073,11.579587
23,48.169073,11.579587
24,48.168822,11.579088
25,48.168822,11.579088
27,48.168964,11.579114
30,48.168224,11.579158
31,48.169073,11.579587
34,48.17882,11.52294
37,48.179635,11.52265
38,48.179642,11.523027
39,48.179642,11.523027
41,48.179839,11.522655
42,48.179839,11.522655
43,48.180167,11.522555
46,48.180412,11.522943
47,48.180619,11.522845
48,48.181418,11.522326
49,48.181418,11.522326
54,48.186325,11.509609
55,48.187447,11.509219
57,48.188498,11.509629
58,48.188732,11.509154
59,48.190485,11.508353
60,48.190788,11.508477
61,48.191429,11.507967
62,48.191532,11.50734
64,48.191562,11.507043
65,48.191562,11.507043
66,48.121667,11.545286
72,48.121724,11.546924
75,48.121165,11.545177
78,48.120852,11.545732
79,48.120626,11.545639
80,48.120626,11.545639
81,48.120626,11.545639
85,48.121796,11.545716
86,48.118655,11.545462
87,48.118655,11.545462
88,48.121964,11.545032
90,48.117641,11.545397
91,48.117533,11.545398
93,48.121813,11.546491
94,48.121813,11.546491
95,48.121813,11.546491
96,48.121704,11.545807
97,48.121704,11.545807
108,48.180813,11.577108
109,48.182141,11.577418
110,48.182646,11.577535
112,48.182646,11.577535
115,48.182776,11.577575
117,48.216449,11.489369
118,48.216454,11.489526
119,48.116172,11.650749
120,48.116172,11.650749
121,48.116781,11.649404
126,48.092484,11.556769
127,48.199192,11.447347
128,48.199192,11.447347
130,48.199192,11.447347
132,48.167732,11.564278
134,48.167612,11.563012
135,48.167612,11.563012
136,48.16852,11.56269
138,48.168015,11.562147
139,48.168015,11.562147
140,48.168015,11.562147
141,48.16873,11.56262
142,48.168071,11.562361
143,48.16891,11.56263
145,48.168574,11.562068
146,48.167722,11.564118
147,48.167852,11.563608
149,48.167852,11.563608
150,48.124868,11.587189
151,48.151902,11.580004
154,48.163012,11.61799
175,48.162494,11.617672
176,48.162661,11.617767
178,48.15495,11.569954
180,48.15516,11.569
183,48.152201,11.578247
184,48.152201,11.578247
185,48.152201,11.578247
187,48.152201,11.578247
188,48.152201,11.578247
189,48.152201,11.578247
190,48.152201,11.578247
191,48.152201,11.578247
192,48.152201,11.578247
194,48.151902,11.580004
195,48.151959,11.579828
196,48.151959,11.579828
199,48.151959,11.579828
200,48.151959,11.579828
201,48.151959,11.579828
202,48.151959,11.579828
203,48.151959,11.579828
204,48.151959,11.579828
205,48.152139,11.57925
206,48.152207,11.579117
208,48.152584,11.576782
209,48.152584,11.576782
210,48.152584,11.576782
211,48.152584,11.576782
212,48.152584,11.576782
214,48.152249,11.578902
215,48.152249,11.578902
216,48.152707,11.576375
217,48.152707,11.576375
218,48.152707,11.576375
219,48.152707,11.576375
220,48.152707,11.576375
221,48.152323,11.578753
222,48.152756,11.576054
223,48.152756,11.576054
224,48.152756,11.576054
226,48.152756,11.576054
227,48.152756,11.576054
228,48.152756,11.576054
229,48.152756,11.576054
230,48.152756,11.576054
231,48.152756,11.576054
232,48.152756,11.576054
234,48.152756,11.576054
236,48.152961,11.575669
237,48.152961,11.575669
238,48.152961,11.575669
239,48.152961,11.575669
240,48.152961,11.575669
241,48.152961,11.575669
242,48.152961,11.575669
243,48.152644,11.577735
244,48.152644,11.577735
245,48.153252,11.574428
246,48.153252,11.574428
247,48.153252,11.574428
248,48.153252,11.574428
249,48.153252,11.574428
256,48.153507,11.573506
257,48.153336,11.575186
258,48.153336,11.575186
260,48.151922,11.579034
263,48.153583,11.57431
264,48.153657,11.57416
267,48.153698,11.573945
271,48.154184,11.572652
274,48.154184,11.572652
275,48.154184,11.572652
276,48.154184,11.572652
279,48.114993,11.623294
280,48.114993,11.623294
282,48.114993,11.623294
284,48.148991,11.54897
285,48.148823,11.548732
286,48.108631,11.623828
287,48.112444,11.622857
288,48.111971,11.622867
290,48.114896,11.62328
291,48.108996,11.623812
292,48.108412,11.623802
293,48.108412,11.623802
295,48.114903,11.622729
297,48.114903,11.622729
298,48.107859,11.623333
300,48.114014,11.623069
305,48.112086,11.622322
306,48.114295,11.622619
307,48.08225,11.675941
308,48.08225,11.675941
320,48.163332,11.558494
321,48.163468,11.561556
322,48.163468,11.561556
323,48.163501,11.561087
324,48.163501,11.561087
325,48.163501,11.561087
326,48.163501,11.561087
327,48.163501,11.561087
328,48.163501,11.561087
329,48.163501,11.561087
331,48.163501,11.561087
332,48.163501,11.561087
333,48.163501,11.561087
338,48.16391,11.56018
340,48.16391,11.56018
341,48.16399,11.56012
342,48.16433,11.5601
343,48.163512,11.559553
344,48.163512,11.559553
348,48.163967,11.558999
349,48.163967,11.558999
351,48.163845,11.558159
352,48.163845,11.558159
354,48.162002,11.560568
355,48.163483,11.559922
356,48.163967,11.558999
357,48.148823,11.548732
358,48.148729,11.548217
361,48.148729,11.548217
364,48.148729,11.548217
405,48.107312,11.471248
407,48.107075,11.470926
408,48.106679,11.471479
409,48.106679,11.471479
410,48.106679,11.471479
411,48.107075,11.470926
419,48.158025,11.566791
420,48.158025,11.566791
421,48.158025,11.566791
422,48.157878,11.568044
424,48.159655,11.567771
425,48.159655,11.567771
427,48.160002,11.567802
430,48.159694,11.5682
431,48.159856,11.568221
432,48.159856,11.568221
433,48.159856,11.568221
434,48.159856,11.568221
439,48.160078,11.568255
442,48.109725,11.608115
443,48.111085,11.707142
445,48.111074,11.708014
447,48.110954,11.708609
448,48.110954,11.708609
449,48.110954,11.708609
450,48.110954,11.708609
458,48.17162,11.47773
459,48.171779,11.477022
460,48.171779,11.477022
461,48.171779,11.477022
463,48.173269,11.476293
467,48.103375,11.637751
468,48.103375,11.637751
469,48.103375,11.637751
470,48.103375,11.637751
471,48.103561,11.638033
472,48.103561,11.638033
473,48.103561,11.638033
474,48.103578,11.639005
475,48.103578,11.639005
476,48.103578,11.639005
477,48.103578,11.639005
478,48.103578,11.639005
479,48.103578,11.639005
480,48.104133,11.638924
481,48.104133,11.638924
482,48.10389,11.639734
483,48.103938,11.640886
484,48.103851,11.641661
485,48.103851,11.641661
486,48.103851,11.641661
487,48.103851,11.641661
488,48.103661,11.641929
489,48.103661,11.641929
490,48.103541,11.642129
491,48.103541,11.642129
492,48.103541,11.642129
493,48.103541,11.642129
494,48.103491,11.642268
495,48.103287,11.642649
496,48.10311,11.64274
497,48.10311,11.64274
498,48.103074,11.637277
499,48.103074,11.637277
500,48.103074,11.637277
501,48.103074,11.637277
502,48.103074,11.637277
503,48.103185,11.637476
504,48.10644,11.618912
507,48.106451,11.619013
508,48.106458,11.619325
510,48.19717,11.550404
511,48.19717,11.550404
513,48.199317,11.549336
516,48.116962,11.700006
519,48.115749,11.702655
520,48.115749,11.702655
521,48.115749,11.702655
522,48.115749,11.702655
523,48.115749,11.702655
524,48.115749,11.702655
528,48.117139,11.699505
539,48.126552,11.555972
543,48.126982,11.555995
544,48.126982,11.555995
547,48.126821,11.556032
548,48.126821,11.556032
549,48.126821,11.556032
550,48.126821,11.556032
552,48.126798,11.555096
553,48.126798,11.555096
554,48.126798,11.555096
556,48.126798,11.555096
558,48.126654,11.555937
559,48.126654,11.555937
560,48.126654,11.555937
561,48.126618,11.555511
565,48.126342,11.555912
566,48.126342,11.555912
567,48.126342,11.555912
574,48.125673,11.555534
576,48.125673,11.555534
577,48.125673,11.555534
578,48.125673,11.555534
579,48.125673,11.555534
580,48.125673,11.555534
581,48.125495,11.555538
582,48.125495,11.555538
583,48.125495,11.555538
584,48.125495,11.555538
585,48.125495,11.555538
586,48.125495,11.555538
587,48.125495,11.555538
589,48.125337,11.555936
591,48.125179,11.555562
593,48.127695,11.555748
594,48.127695,11.555748
596,48.127695,11.555748
598,48.127695,11.555748
600,48.127317,11.555593
604,48.209546,11.611052
605,48.209859,11.611078
606,48.208928,11.61142
611,48.210322,11.611166
620,48.210482,11.612678
624,48.210004,11.613513
628,48.209651,11.613884
630,48.10765,11.633167
632,48.10712,11.63313
633,48.10712,11.63313
634,48.10712,11.63313
637,48.10952,11.63327
638,48.10928,11.63329
639,48.10928,11.63329
640,48.109276,11.633081
641,48.109276,11.633081
642,48.109276,11.633081
643,48.109276,11.633081
644,48.10901,11.6329
645,48.10901,11.6329
646,48.10901,11.6329
647,48.10891,11.6329
648,48.108556,11.633014
649,48.108556,11.633014
650,48.10832,11.6332
651,48.10832,11.6332
652,48.10832,11.6332
653,48.10832,11.6332
654,48.10832,11.6332
655,48.10832,11.6332
656,48.10832,11.6332
657,48.10832,11.6332
658,48.10832,11.6332
660,48.10832,11.6332
662,48.10832,11.6332
663,48.108143,11.633204
664,48.108143,11.633204
665,48.108143,11.633204
666,48.108143,11.633204
667,48.108143,11.633204
668,48.108143,11.633204
669,48.108143,11.633204
671,48.108143,11.633204
672,48.108143,11.633204
673,48.108143,11.633204
674,48.108143,11.633204
676,48.10765,11.633167
677,48.10765,11.633167
678,48.10765,11.633167
679,48.10765,11.633167
681,48.107439,11.633217
682,48.10729,11.63313
683,48.10729,11.63313
685,48.10729,11.63313
686,48.10729,11.63313
687,48.10729,11.63313
688,48.10729,11.63313
689,48.10729,11.63313
691,48.1067,11.63314
692,48.1067,11.63314
693,48.1067,11.63314
694,48.110044,11.632803
696,48.106418,11.633047
697,48.106418,11.633047
698,48.109864,11.632803
699,48.109864,11.632803
700,48.109864,11.632803
701,48.109714,11.632803
702,48.109714,11.632803
703,48.109714,11.632803
704,48.109714,11.632803
707,48.102852,11.61824
708,48.102852,11.61824
709,48.102852,11.61824
710,48.102928,11.616363
711,48.102895,11.617329
712,48.102895,11.617329
714,48.102873,11.617806
715,48.102873,11.617806
716,48.102873,11.617806
717,48.102852,11.61824
718,48.102852,11.61824
719,48.102852,11.61824
720,48.102852,11.61824
721,48.102764,11.618697
722,48.102755,11.618824
723,48.102755,11.618824
724,48.102755,11.618824
725,48.102755,11.618824
726,48.102755,11.618824
727,48.102755,11.618824
728,48.102755,11.618824
729,48.102755,11.618824
730,48.102754,11.619092
731,48.102754,11.619092
732,48.102754,11.619092
733,48.102754,11.619092
734,48.102743,11.619247
735,48.102742,11.619542
736,48.102739,11.619678
737,48.102739,11.619678
738,48.102739,11.619678
739,48.102739,11.619678
740,48.102718,11.619965
741,48.102718,11.619965
742,48.102718,11.619965
743,48.102718,11.619965
744,48.102718,11.619965
745,48.102718,11.619965
746,48.102679,11.620723
747,48.102679,11.620723
748,48.102679,11.620723
749,48.102679,11.620723
750,48.102679,11.620723
751,48.102679,11.620723
752,48.102679,11.620723
753,48.102679,11.620723
754,48.102683,11.620999
755,48.102683,11.620999
756,48.102648,11.62169
757,48.103159,11.614596
758,48.102627,11.621831
759,48.102627,11.621831
760,48.102627,11.621831
761,48.103302,11.6156
762,48.103302,11.6156
763,48.103302,11.6156
764,48.102966,11.616056
765,48.102739,11.619678
766,48.102739,11.619678
808,48.138014,11.561924
809,48.138014,11.561924
810,48.138014,11.561924
811,48.138014,11.561924
812,48.138014,11.561924
813,48.138014,11.561924
814,48.138014,11.561924
839,48.138025,11.561858
840,48.138025,11.561858
841,48.138025,11.561858
842,48.138025,11.561858
856,48.110034,11.535657
857,48.110212,11.535191
859,48.109657,11.534574
860,48.109686,11.534857
861,48.109686,11.534857
862,48.109695,11.535018
871,48.094696,11.584828
872,48.112044,11.687895
873,48.111781,11.688921
874,48.111781,11.688921
875,48.111686,11.689087
876,48.111686,11.689087
877,48.111686,11.689087
881,48.094087,11.569275
882,48.094087,11.569275
885,48.094087,11.569275
891,48.11531,11.567011
893,48.11469,11.567446
894,48.11469,11.567446
897,48.11531,11.567011
898,48.11531,11.567011
899,48.114629,11.56676
900,48.114629,11.56676
901,48.114629,11.56676
904,48.114362,11.567025
905,48.113892,11.566745
907,48.11469,11.567446
908,48.11469,11.567446
909,48.11469,11.567446
910,48.11469,11.567446
912,48.11469,11.567446
913,48.11469,11.567446
914,48.11469,11.567446
915,48.11469,11.567446
916,48.11469,11.567446
917,48.114299,11.567675
920,48.141337,11.48254
928,48.1389,11.515934
929,48.1389,11.515934
930,48.138856,11.515597
931,48.138856,11.515597
932,48.13882,11.51765
937,48.139132,11.496515
940,48.139731,11.495018
941,48.13845,11.51582
942,48.13827,11.51579
943,48.13827,11.51579
944,48.139856,11.494164
946,48.139891,11.493581
948,48.139891,11.493581
949,48.14003,11.492199
950,48.14003,11.492199
951,48.140069,11.492022
952,48.140069,11.492022
953,48.140069,11.492022
954,48.140353,11.490444
955,48.13842,11.51527
957,48.139275,11.516189
958,48.141439,11.487402
960,48.141267,11.485404
961,48.141267,11.485404
965,48.13843,11.51497
967,48.14173,11.485491
969,48.13943,11.516149
971,48.141312,11.482597
972,48.141312,11.482597
973,48.141312,11.482597
974,48.141312,11.482597
976,48.141312,11.482597
977,48.141312,11.482597
978,48.141312,11.482597
979,48.141312,11.482597
981,48.141312,11.482597
982,48.138859,11.515244
983,48.141337,11.48254
985,48.141337,11.48254
986,48.141337,11.48254
987,48.141337,11.48254
988,48.141337,11.48254
989,48.141337,11.48254
990,48.141337,11.48254
992,48.141337,11.48254
995,48.139625,11.516588
997,48.142163,11.479062
998,48.142392,11.476791
999,48.138812,11.514757
1000,48.138812,11.514757
1001,48.138812,11.514757
1002,48.138812,11.514757
1003,48.138812,11.514757
1004,48.138812,11.514757
1005,48.138812,11.514757
1006,48.138812,11.514757
1007,48.138812,11.514757
1009,48.138886,11.514586
1010,48.138886,11.514586
1011,48.138886,11.514586
1012,48.139263,11.513969
1013,48.140011,11.50335
1016,48.139386,11.513488
1017,48.139386,11.513488
1018,48.139386,11.513488
1020,48.139525,11.513544
1021,48.139525,11.513544
1022,48.139525,11.513544
1023,48.139609,11.513552
1024,48.139609,11.513552
1025,48.139803,11.513608
1026,48.139803,11.513608
1027,48.139933,11.513645
1028,48.139979,11.513663
1030,48.139979,11.513663
1031,48.140137,11.51371
1032,48.140137,11.51371
1033,48.140258,11.513727
1034,48.140258,11.513727
1035,48.140258,11.513727
1036,48.140258,11.513727
1037,48.140258,11.513727
1039,48.139298,11.512446
1040,48.139298,11.512446
1041,48.139545,11.512732
1042,48.139545,11.512732
1043,48.139545,11.512732
1045,48.139744,11.512839
1047,48.139744,11.512839
1048,48.13984,11.512858
1049,48.14002,11.512906
1050,48.14002,11.512906
1051,48.14002,11.512906
1052,48.14002,11.512906
1053,48.140115,11.512934
1054,48.140296,11.512982
1055,48.140296,11.512982
1056,48.140296,11.512982
1057,48.140296,11.512982
1058,48.140296,11.512982
1059,48.140391,11.513011
1060,48.140391,11.513011
1061,48.140391,11.513011
1062,48.140391,11.513011
1063,48.140391,11.513011
1064,48.140391,11.513011
1065,48.140391,11.513011
1074,48.139062,11.511805
1080,48.139097,11.511585
1081,48.139097,11.511585
1083,48.139686,11.510152
1085,48.139118,11.511133
1086,48.13881,11.517026
1096,48.139311,11.509617
1097,48.139311,11.509617
1100,48.139311,11.509617
1101,48.139311,11.509617
1102,48.139311,11.509617
1104,48.139446,11.508608
1106,48.139354,11.508992
1111,48.139354,11.508992
1112,48.139349,11.50827
1116,48.139464,11.507906
1117,48.139464,11.507906
1118,48.139464,11.507906
1120,48.139449,11.507621
1121,48.139449,11.507621
1122,48.139449,11.507621
1123,48.139449,11.507621
1124,48.139488,11.506052
1125,48.139492,11.505777
1126,48.139492,11.505777
1127,48.139492,11.505777
1129,48.139492,11.505777
1130,48.139492,11.505777
1131,48.139492,11.505777
1132,48.139495,11.505522
1133,48.139495,11.505522
1135,48.139432,11.505116
1136,48.139432,11.505116
1138,48.139432,11.505116
1139,48.139432,11.505116
1140,48.139432,11.505116
1141,48.139432,11.505116
1142,48.139432,11.505116
1143,48.139432,11.505116
1144,48.139432,11.505116
1146,48.139303,11.504668
1147,48.138869,11.516461
1148,48.139449,11.504421
1149,48.139449,11.504421
1150,48.139449,11.504421
1151,48.139449,11.504421
1153,48.139343,11.504095
1154,48.139323,11.503768
1156,48.139323,11.503768
1157,48.139323,11.503768
1158,48.139323,11.503768
1159,48.139514,11.502485
1162,48.139908,11.504874
1163,48.139908,11.504874
1164,48.139908,11.504874
1167,48.139491,11.50162
1169,48.139491,11.50162
1171,48.139894,11.504131
1172,48.139894,11.504131
1173,48.139894,11.504131
1174,48.139885,11.503696
1175,48.139885,11.503696
1176,48.139885,11.503696
1177,48.139885,11.503696
1178,48.139885,11.503696
1182,48.139538,11.501105
1184,48.139538,11.501105
1185,48.140043,11.502178
1187,48.13953,11.500781
1189,48.139424,11.500486
1190,48.139424,11.500486
1191,48.139424,11.500486
1193,48.139896,11.500448
1194,48.139896,11.500448
1195,48.139896,11.500448
1196,48.139896,11.500448
1197,48.139391,11.498788
1198,48.139391,11.498788
1200,48.139391,11.498788
1201,48.139391,11.498788
1204,48.140271,11.496821
1205,48.139506,11.496611
1206,48.13845,11.51582
1207,48.139432,11.505116
1208,48.084027,11.659919
1210,48.166569,11.555827
1211,48.166569,11.555827
1212,48.166605,11.5559
1213,48.166605,11.5559
1214,48.16681,11.555237
1215,48.16681,11.555237
1216,48.166476,11.55529
1217,48.166609,11.555627
1221,48.157556,11.570705
1222,48.157567,11.570517
1223,48.157587,11.570319
1224,48.157587,11.570319
1225,48.157587,11.570319
1226,48.157345,11.569601
1227,48.157345,11.569601
1228,48.157713,11.569856
